epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9724,1.81133,3.16286,1.49291,0.45996,0.23598,0.18514,0.11333,1.54105,1.84594,1.35212,0.00012795,0.00012795,0.00012795
2,178.605,1.5223,1.97628,1.34512,0.38272,0.31595,0.26698,0.16267,1.47919,1.58465,1.33854,0.000251209,0.000251209,0.000251209
3,264.405,1.54851,1.77251,1.37318,0.55208,0.32352,0.34845,0.21602,1.47406,1.44125,1.33245,0.000369386,0.000369386,0.000369386
4,352.271,1.49817,1.56558,1.34918,0.69277,0.29191,0.35577,0.21988,1.51146,1.42442,1.3787,0.000362131,0.000362131,0.000362131
5,438.579,1.50697,1.55808,1.34383,0.55609,0.32136,0.35489,0.20839,1.48966,1.45522,1.37054,0.000354508,0.000354508,0.000354508
6,520.934,1.46248,1.48945,1.33106,0.54462,0.44878,0.43294,0.27265,1.44768,1.34229,1.36,0.000346885,0.000346885,0.000346885
7,607.555,1.43746,1.41889,1.33158,0.59747,0.43145,0.45685,0.29339,1.40913,1.26444,1.31617,0.000339262,0.000339262,0.000339262
8,692.283,1.36357,1.27102,1.27331,0.61687,0.43443,0.4578,0.28847,1.41586,1.28225,1.32031,0.000331639,0.000331639,0.000331639
9,775.06,1.40631,1.29943,1.30249,0.5376,0.52723,0.50242,0.31762,1.39475,1.23566,1.30979,0.000324016,0.000324016,0.000324016
10,859.934,1.36542,1.19239,1.26814,0.56984,0.5106,0.50451,0.32343,1.44272,1.14382,1.34165,0.000316393,0.000316393,0.000316393
11,945.367,1.33153,1.19904,1.27796,0.54007,0.50162,0.49508,0.31282,1.40026,1.15173,1.29824,0.00030877,0.00030877,0.00030877
12,1039.87,1.34141,1.17441,1.25447,0.51078,0.53884,0.51852,0.33263,1.40202,1.14007,1.30487,0.000301147,0.000301147,0.000301147
13,1130.2,1.30962,1.09036,1.2186,0.63784,0.50636,0.52744,0.34217,1.38627,1.12922,1.30246,0.000293524,0.000293524,0.000293524
14,1216.5,1.31794,1.07398,1.25282,0.64832,0.52705,0.55441,0.36122,1.37758,1.07745,1.29567,0.000285901,0.000285901,0.000285901
15,1305.23,1.31148,1.07494,1.23772,0.68452,0.59055,0.59903,0.3853,1.39959,1.04863,1.30603,0.000278278,0.000278278,0.000278278
16,1390.43,1.25268,0.99217,1.21506,0.67389,0.51124,0.56215,0.3533,1.37373,1.04114,1.29365,0.000270655,0.000270655,0.000270655
17,1477.05,1.27469,0.98904,1.22712,0.65514,0.51783,0.54735,0.35353,1.3867,0.99498,1.28878,0.000263032,0.000263032,0.000263032
18,1564.78,1.25018,0.92895,1.19153,0.68718,0.55471,0.58119,0.37831,1.37622,0.99397,1.28732,0.000255409,0.000255409,0.000255409
19,1652.23,1.23868,0.93244,1.20239,0.76263,0.50441,0.5937,0.39994,1.34351,0.96641,1.27406,0.000247786,0.000247786,0.000247786
20,1737.45,1.24255,0.93769,1.20008,0.67691,0.60053,0.61978,0.40568,1.37566,0.96605,1.29401,0.000240163,0.000240163,0.000240163
21,1822.84,1.22461,0.90901,1.19057,0.66693,0.57665,0.61469,0.40626,1.37074,0.99479,1.29798,0.00023254,0.00023254,0.00023254
22,1908.59,1.20131,0.89339,1.18416,0.7402,0.52247,0.60101,0.38915,1.38076,0.9558,1.28707,0.000224917,0.000224917,0.000224917
23,1993.42,1.20362,0.84247,1.17,0.6311,0.58864,0.61086,0.39072,1.38931,0.94742,1.30404,0.000217294,0.000217294,0.000217294
24,2081.41,1.22618,0.87933,1.20306,0.69798,0.5295,0.62204,0.40568,1.3838,0.94786,1.29256,0.000209671,0.000209671,0.000209671
25,2170.53,1.20898,0.82981,1.1886,0.6947,0.59166,0.65153,0.42806,1.39314,0.93535,1.313,0.000202048,0.000202048,0.000202048
26,2259.65,1.15579,0.81769,1.16653,0.64053,0.63409,0.63435,0.41755,1.37391,0.94489,1.28965,0.000194425,0.000194425,0.000194425
27,2348.92,1.16612,0.77063,1.16548,0.768,0.56386,0.63382,0.41501,1.38152,0.91235,1.29544,0.000186802,0.000186802,0.000186802
28,2435.41,1.18075,0.79498,1.18301,0.76125,0.61323,0.66602,0.43645,1.35612,0.8699,1.29031,0.000179179,0.000179179,0.000179179
29,2524.31,1.15796,0.79258,1.16368,0.7203,0.59757,0.65018,0.42252,1.34884,0.88305,1.28022,0.000171556,0.000171556,0.000171556
30,2683.87,1.14414,0.76149,1.14314,0.7677,0.56005,0.65657,0.42823,1.3746,0.88894,1.29406,0.000163933,0.000163933,0.000163933
31,2770.88,1.13392,0.73091,1.15452,0.76467,0.56834,0.63771,0.42816,1.37049,0.90966,1.29796,0.00015631,0.00015631,0.00015631
32,2858.24,1.13939,0.7183,1.15415,0.77404,0.56023,0.66557,0.43664,1.39425,0.89796,1.29823,0.000148687,0.000148687,0.000148687
33,2943.25,1.09815,0.69147,1.11179,0.76015,0.58575,0.63748,0.41763,1.41681,0.90201,1.31771,0.000141064,0.000141064,0.000141064
34,3049.96,1.09234,0.69331,1.12748,0.76119,0.58578,0.67256,0.45362,1.34608,0.86531,1.28768,0.000133441,0.000133441,0.000133441
35,3137.9,1.08373,0.67491,1.12417,0.76464,0.56724,0.66243,0.44014,1.38595,0.86311,1.30239,0.000125818,0.000125818,0.000125818
36,3226.27,1.06122,0.65599,1.11361,0.73199,0.62493,0.66796,0.44049,1.40337,0.8456,1.30581,0.000118195,0.000118195,0.000118195
37,3314.25,1.07869,0.6698,1.11599,0.74696,0.58461,0.65666,0.4254,1.38959,0.86876,1.30706,0.000110572,0.000110572,0.000110572
38,3402.69,1.08132,0.65771,1.11562,0.71603,0.62527,0.66311,0.44215,1.37946,0.8565,1.30083,0.000102949,0.000102949,0.000102949
39,3551.07,1.08363,0.65878,1.10657,0.78816,0.62575,0.69654,0.475,1.3532,0.81692,1.29949,9.5326e-05,9.5326e-05,9.5326e-05
40,3653.54,1.07195,0.63275,1.11508,0.72611,0.69079,0.71293,0.47947,1.37747,0.82716,1.30914,8.7703e-05,8.7703e-05,8.7703e-05
41,3791.91,1.09645,0.64139,1.1569,0.66195,0.67069,0.68504,0.46124,1.3855,0.84086,1.30434,8.008e-05,8.008e-05,8.008e-05
42,3877.8,1.08724,0.6371,1.13334,0.71306,0.63705,0.68458,0.46005,1.39269,0.83856,1.3131,7.2457e-05,7.2457e-05,7.2457e-05
43,3962.67,1.04846,0.62093,1.15015,0.79043,0.59604,0.6952,0.4674,1.38111,0.83751,1.31415,6.4834e-05,6.4834e-05,6.4834e-05
44,4047.68,1.06167,0.63499,1.11206,0.74244,0.60774,0.66876,0.44614,1.39312,0.85417,1.31955,5.7211e-05,5.7211e-05,5.7211e-05
45,4134.48,1.07522,0.61866,1.14374,0.79479,0.60671,0.68348,0.45501,1.39954,0.84034,1.32844,4.9588e-05,4.9588e-05,4.9588e-05
46,4216.68,1.0211,0.56253,1.12442,0.79419,0.58937,0.67796,0.44197,1.40266,0.83619,1.33133,4.1965e-05,4.1965e-05,4.1965e-05
47,4302.17,1.04692,0.5811,1.0942,0.77168,0.61049,0.67177,0.44414,1.40132,0.84217,1.32898,3.4342e-05,3.4342e-05,3.4342e-05
48,4387.19,1.01784,0.55427,1.10009,0.74253,0.62097,0.66509,0.44459,1.3881,0.84602,1.32083,2.6719e-05,2.6719e-05,2.6719e-05
49,4472.89,0.99747,0.53874,1.08994,0.75641,0.62533,0.67993,0.45223,1.39898,0.83941,1.33226,1.9096e-05,1.9096e-05,1.9096e-05
50,4557.63,0.99862,0.53033,1.08436,0.75894,0.63463,0.68932,0.45963,1.39768,0.83649,1.32671,1.1473e-05,1.1473e-05,1.1473e-05
